Venue Name,Venue Location,Price per Plate
La Stella Banquet Hall 1,"Moti Nagar, Delhi Ncr",1450 - 1650
Chandelier by Sandoz Banquet Hall 1,"Moti Nagar, Delhi Ncr",900 - 1100
Grand Imperia Banquet Hall 1,"Moti Nagar, Delhi Ncr",1300 - 1400
The Ritz Hall 1,"Moti Nagar, Delhi Ncr",1600 - 1800
Three Six Nine Banquet Hall,"Moti Nagar, Delhi Ncr",850 - 1150
Corus Banquet Hall,"Moti Nagar, Delhi Ncr",1400 - 1600
Majestic Banquets,"Moti Nagar, Delhi Ncr",2200 - 2300
Habitat World Banquet,"Moti Nagar, Delhi Ncr",1200 - 1420
Plated Banquets,"Moti Nagar, Delhi Ncr",750 - 1000
Kainoosh Banquet,"Moti Nagar, Delhi Ncr",1205 - 1405
