Artist Name,Artist Location,Price
Rashmi Khurana,"Preet Vihar, Delhi","20,000"
Beauty Twists by Nikita,"Preet Vihar, Delhi","15,000"
Makeover by Surbhi Kashyap,"Preet Vihar, Delhi","10,000"
Makeover By Pooja Kathuria,"Preet Vihar, Delhi","6,000"
kunjam juneja Makeovers,"Preet Vihar, Delhi","1,800"
Makeovers by Sirjan Soni,"Preet Vihar, Delhi","10,000"
Debjani Makeover,"Preet Vihar, Delhi","5,000"
Makeovers by Peejay,"Preet Vihar, Delhi","5,000"
Makeup By Swanti,"Preet Vihar, Delhi","10,000"
Monika Goel Makeovers,"Preet Vihar, Delhi","3,000"
GANDHARVA WELLNESS STUDIO,"Preet Vihar, Delhi","10,000"
Alps Beauty Clinic & Academy,"Preet Vihar, Delhi","18,000"
Sarita Makeovers,"Preet Vihar, Delhi","4,000"
Anshu Makeover,"Preet Vihar, Delhi","25,000"
Rita Makeup Artist,"Preet Vihar, Delhi","20,000"
Makeup by Rhythm,"Preet Vihar, Delhi","15,000"
Ananta Gogia,"Preet Vihar, Delhi","10,000"
The Magic Touch by Neha,"Preet Vihar, Delhi","15,000"
More Mascara Please,"Preet Vihar, Delhi","3,000"
Tamanna Ahluwalia Makeovers,"Preet Vihar, Delhi","5,000"
Shikha Makeovers,"Preet Vihar, Delhi","10,000"
Essentials Salon,"Preet Vihar, Delhi","15,000"
